100,17.0895
200,29.3027
300,42.449
400,55.0679
500,67.5251
600,94.1902
700,119.516
800,140.594
900,158.717
1000,177.088
1100,191.397
1200,217.653
1300,221.617
1400,236.658
1500,256.426
1600,258.051
1700,407.864
1800,279.958
1900,421.03
2000,392.362
2100,425.405
2200,410.409
2300,359.698
2400,412.45
2500,397.303
2600,407.456
2700,393.38
2800,393.829
2900,398.766
3000,414.285
3100,421.8
3200,432.69
3300,449.459
3400,470.301
3500,492.648
3600,483.831
3700,482.532
3800,501.03
3900,529.119
4000,518.724
4100,531.729
4200,531.603
4300,547.974
4400,568.484
4500,567.472
4600,582.234
4700,590.322
4800,620.335
4900,616.3
5000,615.311
5100,637.315
5200,645.381
5300,650.42
5400,665.5
5500,664.606
5600,675.369
5700,683.088
5800,694.787
5900,702.798
6000,734.371
6100,746.136
6200,743.158
6300,756.625
6400,748.343
6500,817.724
6600,831.75
6700,818.331
6800,804.32
6900,821.065
7000,842.056
7100,835.838
7200,831.813
7300,848.976
7400,849.797
7500,902.807
7600,898.536
7700,880.358
7800,911.15
7900,899.721
8000,904.575
8100,928.951
8200,923.979
8300,929.892
8400,948.514
8500,956.531
8600,977.243
8700,973.032
8800,971.687
8900,994.753
9000,1025.32
9100,1026.27
9200,1052.83
9300,1054.23
9400,1079.53
9500,1084.72
9600,1106.07
9700,1075.51
9800,1108.18
9900,1113.12
10000,1123.87
10100,1133.55
10200,1124.62
10300,1125.93
10400,1167.1
10500,1167.06
10600,1198.03
10700,1202.2
10800,1209.81
10900,1210.93
11000,1217.95
11100,1205.15
11200,1240.34
11300,1255.69
11400,1248.36
11500,1243.55
11600,1243.05
11700,1280.09
11800,1296.09
11900,1264.36
12000,1285.16
12100,1307.34
12200,1317.11
12300,1324.14
12400,1322.69
12500,1332.19
12600,1325.15
12700,1342.36
12800,1347.33
12900,1351.91
13000,1370.62
13100,1366.05
13200,1373.17
13300,1395.63
13400,1403.04
13500,1406.51
13600,1413.57
13700,1438.75
13800,1431.04
13900,1446.43
14000,1469.11
14100,1457.21
14200,1491.9
14300,1473.39
14400,1512.55
14500,1528.44
14600,1504.73
14700,1511.41
14800,1518.95
14900,1566.41
15000,1550.29
