100,7870
200,31051
300,72636
400,131975
500,209821
600,361517
700,548069
800,751855
900,971692
1000,1223280
1100,1474404
1200,1851810
1300,2065731
1400,2400165
1500,2812946
1600,3046145
1700,5157543
1800,3777181
1900,6039359
2000,5964604
2100,6833854
2200,6948913
2300,6403887
2400,7704461
2500,7771294
2600,8330234
2700,8391866
2800,8752720
2900,9219532
3000,9950756
3100,10511845
3200,11175036
3300,12016520
3400,13002520
3500,14070913
3600,14262986
3700,14668753
3800,15693512
3900,17063044
4000,17209294
4100,18135595
4200,18627345
4300,19713589
4400,20984549
4500,21480642
4600,22588096
4700,23459379
4800,25239321
4900,25659800
5000,26203614
5100,27747852
5200,28715145
5300,29561556
5400,30884800
5500,31481556
5600,32641202
5700,33672707
5800,34920406
5900,36002935
6000,38332050
6100,39670469
6200,40234801
6300,41700886
6400,41974532
6500,46665149
6600,48279649
6700,48302867
6800,48265498
6900,50077611
7000,52186996
7100,52625794
7200,53193763
7300,55130862
7400,56025713
7500,60415809
7600,61022178
7700,60662910
7800,63691821
7900,63789733
8000,65036774
8100,67717638
8200,68279757
8300,69648258
8400,71994366
8500,73563398
8600,76138849
8700,76790123
8800,77663101
8900,80510223
9000,84019816
9100,85135485
9200,88404024
9300,89589457
9400,92834533
9500,94382689
9600,97364591
9700,95768244
9800,99806207
9900,101386563
10000,103512478
10100,105561992
10200,105879656
10300,107155779
10400,112269852
10500,113462711
10600,117703044
10700,119347826
10800,121347054
10900,122705872
11000,124671583
11100,124604131
11200,129522510
11300,132422261
11400,132939681
11500,133714337
11600,134947486
11700,140295031
11800,143392500
11900,141194470
12000,144852931
12100,148711492
12200,151193855
12300,153379243
12400,154590508
12500,157089829
12600,157642516
12700,161092774
12800,163097804
12900,165065662
13000,168785328
13100,169654119
13200,171977311
13300,176254850
13400,178663561
13500,180583756
13600,182976509
13700,187749633
13800,188250300
13900,191797897
14000,196354973
14100,196301854
14200,202549820
14300,201593257
14400,208550035
14500,212357279
14600,210656763
14700,213191908
14800,215866507
14900,224272101
15000,223608807
